"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"ENG_OIL_TMP_PIN";0;800;;"Температура масла в двигателе с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"EXH_TMP_PIN";0;801;;"Температура отработавших газов с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"LFT_MFD_TMP_PIN";0;802;;"Температура отработавших газов левого коллектора с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"RGT_MFD_TMP_PIN";0;803;;"Температура отработавших газов в правом коллекторе с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"FUEL_LVL_PIN";0;804;;"Уровень топлива с контакта ВВ/ВЫВ";0,0078125;-251;2;16;-251;250,99
"EXT_FUEL_LVL_PIN";0;805;;"Уровень топлива во внешнем баке с контакта ВВ/ВЫВ";0,0078125;-251;2;16;-251;250,99
"ENG_OIL_LVL_PIN";0;806;;"Уровень масла в двигателе с контакта ВВ/ВЫВ";0,0078125;-251;2;16;-251;250,99
"ENG_COOL_LVL_PIN";0;807;;"Уровень охлаждающей жидкости в двигателе с контакта ВВ/ВЫВ";0,0078125;-251;2;16;-251;250,99
"FXT_PRESS_PIN";0;808;;"Давление огнетушителя с контакта ВВ/ВЫВ";0,125;0;2;16;0;8031,875
"OIL_FLT_PRES_PIN";0;809;;"Перепад давления масляного фильтра с контакта ВВ/ВЫВ";0,125;0;2;16;0;8031,875
"AIR_FLT_PRES_PIN";0;810;;"Перепад давления воздушного фильтра 1 с контакта ВВ/ВЫВ";0,0078125;-250;2;16;-250;251,99
"FUEL_FLT_PRES_PI";0;811;;"Перепад давления топливного фильтра с контакта ВВ/ВЫВ";0,125;0;2;16;0;8031,875
"STR_AIR_PRES_PIN";0;813;;"Давление воздуха для пуска с контакта ВВ/ВЫВ";0,125;0;2;16;0;8031,875
"AMB_AIR_TMP_PIN";0;814;;"Температура окружающего воздуха с контакта ВВ/ВЫВ";0,03125;-273;2;16;-273;1735
"RTC";0;900;;"Счетчик времени в реальном масштабе";1;0;6;48;0;0
"ENG_STATUS";0;1053;;"Состояние двигателя";1;0;2;8;0;5
"CLDWN_DUR_REM";0;1054;;"Оставшееся время охлаждения";1;0;2;16;0;64255
"DES_GEN_OUT_VOLT";0;1057;;"Необходимое выходное напряжение генераторной установки";1;0;2;16;0;64255
"AVR_BIAS_PCT";0;1058;;"Смещение в % автоматического регулятора напряжения";0,0078125;-251;2;16;-251;250,99
"REQ_ENG_SPEED";0;1060;;"Необходимая ЧВД";0,125;0;2;16;0;8031,875
"SPD_BIAS_PCNT";0;1061;;"Смещение частоты в %";0,0078125;-251;2;16;-251;250,99
"LOSS_OF_UTILITY";0;1064;;"Потеря общ э/сети";1;0;2;2;0;3
"GEN_BRKR_OPEN";0;1065;;"Состояние разрыва прерывателя генератора";1;0;2;2;0;3
"UTIL_BRKR_OPEN";0;1066;;"Состояние размыкания прерывателя сети";1;0;2;2;0;3
"GEN_FREQ_OK";0;1067;;"Частота генератора в заданных пределах";1;0;2;2;0;3
"GEN_VOLTS_OK";0;1068;;"Напряжение генератора в заданных пределах";1;0;2;2;0;3
